District,State,State_Abbreviation,CD#,CD,2018_Cook_PVI_Score,2018_Winner,Party,flipped_seat,Dem_Votes_2018,GOP_Votes_2018,Other_Votes_2018,Dem_2018_Vote_Share,GOP_2018_Vote_Share,Clinton_Vote_Share,Trump_Vote_Share,City_Lab_Congressional_Index,2018_Cook_PVI_Score_intg,2018_Cook_PVI_Index,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white
CA17,California,CA,17,CA-17,25,Ro Khanna,D,No,"159,105","52,057",0,75.30,24.70,73.9,20.5,Pure urban,25,D+25,34.5,3.1,14.2,45.4,0.3,2.5,57,54.4,121150,15.7
CA18,California,CA,18,CA-18,23,Anna Eshoo,D,No,"225,142","77,096",0,74.50,25.50,73.4,20.2,Urban-suburban mix,23,D+23,65.2,2,11.7,18.3,0.2,2.6,61.5,65.1,125790,22.7
CA19,California,CA,19,CA-19,24,Zoe Lofgren,D,No,"162,496","57,823",0,73.80,26.20,72.9,21.5,Urban-suburban mix,24,D+24,34.2,3.4,30.9,28.7,0.3,2.5,35.5,48.8,93139,17.5
CA20,California,CA,20,CA-20,23,Jimmy Panetta,D,No,"183,677",0,"42,044",81.40,0.00,70.4,23.2,Urban-suburban mix,23,D+23,54.5,2.6,33.8,6,0.3,2.7,27.9,43.5,67419,30.7
CA21,California,CA,21,CA-21,5,T.J. Cox,D,Yes (to Democrats),"57,239","56,377",0,50.40,49.60,55.2,39.7,Rural-suburban mix,5,D+5,29.1,6.3,58.7,3.8,0.7,1.5,7.9,19.5,41174,23.3
CA22,California,CA,22,CA-22,-8,Devin Nunes,R,No,"105,136","117,243",0,47.30,52.70,42.6,52.1,Dense suburban,-8,R+8,51.7,3.2,35.6,7.1,0.5,1.8,24.1,31.6,56524,35.3
CA23,California,CA,23,CA-23,-14,Kevin McCarthy,R,No,"74,661","131,113",0,36.30,63.70,36.1,58.1,Dense suburban,-14,R+14,57.1,6.6,29.1,4.4,0.7,2.1,20.8,24.6,54437,42.9
CA24,California,CA,24,CA-24,7,Salud Carbajal,D,No,"166,550","117,881",0,58.60,41.40,56.7,36.5,Sparse suburban,7,D+7,68,2.2,22.7,4.5,0.4,2.2,34,44.8,68929,37.5
CA25,California,CA,25,CA-25,0,Katie Hill,D,Yes (to Democrats),"133,209","111,813",0,54.40,45.60,50.3,43.6,Dense suburban,0,EVEN,52.4,8.1,29,7.7,0.3,2.5,27.8,33.3,75367,34.9
CA26,California,CA,26,CA-26,7,Julia Brownley,D,No,"158,216","97,210",0,61.90,38.10,57.9,36,Dense suburban,7,D+7,57,2.1,32,6.6,0.3,2,34.1,46.3,76914,30.6
CA27,California,CA,27,CA-27,16,Judy Chu,D,No,"202,636",0,0,100.00,0.00,66,28.4,Urban-suburban mix,16,D+16,33.5,5.4,24.5,34.7,0.2,1.7,40.5,53.1,71223,15.6
CA28,California,CA,28,CA-28,23,Adam Schiff,D,No,"196,662","54,272",0,78.40,21.60,72.1,22.3,Pure urban,23,D+23,62.1,3.3,19.9,12.1,0.2,2.5,46.2,51.6,63940,29.9
CA29,California,CA,29,CA-29,29,Tony Cardenas,D,No,"124,697","29,995",0,80.60,19.40,77.7,16.8,Pure urban,29,D+29,28.3,5.4,55.3,9.4,0.3,1.2,19.2,34.5,50655,18.4
CA30,California,CA,30,CA-30,18,Brad Sherman,D,No,"191,573","69,420",0,73.40,26.60,69.1,25.7,Urban-suburban mix,18,D+18,59.7,5.2,21,11.5,0.2,2.4,42.4,49.3,76778,30.2
CA31,California,CA,31,CA-31,8,Pete Aguilar,D,No,"110,143","77,352",0,58.70,41.30,57.7,36.6,Dense suburban,8,D+8,35.2,12,43.3,7.2,0.3,2.1,22.7,33.7,58668,23.2
CA32,California,CA,32,CA-32,17,Grace Napolitano,D,No,"121,759","55,272",0,68.80,31.20,66.6,27.7,Urban-suburban mix,17,D+17,22.6,3.5,54.3,18.1,0.3,1.3,21.4,30.6,67101,15.6
CA33,California,CA,33,CA-33,16,Ted Lieu,D,No,"219,091","93,769",0,70.00,30.00,67.8,26.5,Urban-suburban mix,16,D+16,71.1,2.9,11,11.9,0.2,2.9,65.4,68.1,101956,22.6
CA34,California,CA,34,CA-34,35,Jimmy Gomez,D,No,"110,195",0,"41,711",72.50,0.00,83.6,10.7,Pure urban,35,D+35,17.9,7.1,51,22.2,0.3,1.5,25.4,59.4,40847,7.2
CA35,California,CA,35,CA-35,19,Norma Torres,D,No,"103,420","45,604",0,69.40,30.60,67.7,26.9,Urban-suburban mix,19,D+19,21.8,8.8,59.8,7.3,0.3,2,16.1,23.8,57159,16.5
CA36,California,CA,36,CA-36,2,Raul Ruiz,D,No,"122,169","84,839",0,59.00,41.00,52.2,43.4,Dense suburban,2,D+2,55.8,4.6,34.4,3.1,0.6,1.5,20.6,29.8,44567,39.1
CA37,California,CA,37,CA-37,37,Karen Bass,D,No,"210,555","25,823",0,89.10,10.90,85.7,9.6,Pure urban,37,D+37,32.3,29.5,25.7,10,0.2,2.4,36.9,66.6,55190,10.7
CA38,California,CA,38,CA-38,17,Linda Sanchez,D,No,"139,188","62,968",0,68.90,31.10,67,27.4,Pure urban,17,D+17,22.8,4.4,55.4,15.9,0.4,1.1,23.5,25.6,66421,16.8
CA39,California,CA,39,CA-39,0,Gil Cisneros,D,Yes (to Democrats),"126,002","118,391",0,51.60,48.40,51.5,42.9,Dense suburban,0,EVEN,39.6,2.5,27.2,28.5,0.2,2,41.6,43.7,85188,22.2
CA40,California,CA,40,CA-40,33,Lucille Roybal-Allard,D,No,"93,938",0,"27,511",77.30,0.00,82.2,12.8,Pure urban,33,D+33,8.7,7.9,79,3.7,0.2,0.5,9.8,24.6,42902,6.5
CA41,California,CA,41,CA-41,12,Mark Takano,D,No,"108,227","58,021",0,65.10,34.90,61,33.1,Dense suburban,12,D+12,33.6,11.2,46.6,6.1,0.4,2,18.3,28.2,62069,24
CA42,California,CA,42,CA-42,-9,Ken Calvert,R,No,"100,892","131,040",0,43.50,56.50,41.4,53.4,Sparse suburban,-9,R+9,52.2,5.9,30,9,0.4,2.5,25,27.4,76504,37.8
CA43,California,CA,43,CA-43,29,Maxine Waters,D,No,"152,272","43,780",0,77.70,22.30,78.4,16.7,Pure urban,29,D+29,20.6,28.7,33.9,13.8,0.2,2.8,26.5,46.2,54614,11
CA44,California,CA,44,CA-44,35,Nanette Barragan,D,No,"143,322",0,0,100.00,0.00,83,12.3,Pure urban,35,D+35,10.9,22.5,56.8,7.8,0.3,1.7,12.3,26.5,50890,8
CA45,California,CA,45,CA-45,-3,Katie Porter,D,Yes (to Democrats),"158,906","146,383",0,52.10,47.90,49.8,44.4,Urban-suburban mix,-3,R+3,60.9,1.9,14.2,20.4,0.2,2.5,56,56.5,97356,26.4
CA46,California,CA,46,CA-46,15,Lou Correa,D,No,"102,278","45,638",0,69.10,30.90,66.3,27.9,Pure urban,15,D+15,31.6,2.2,47.8,16.8,0.2,1.3,18.7,31,61304,21.7
CA47,California,CA,47,CA-47,13,Alan Lowenthal,D,No,"143,354","77,682",0,64.90,35.10,62.6,31,Pure urban,13,D+13,41.5,8.3,24.7,22.5,0.4,2.6,32,43.2,65450,23.5
CA48,California,CA,48,CA-48,-4,Harley Rouda,D,Yes (to Democrats),"157,837","136,899",0,53.60,46.40,47.9,46.2,Urban-suburban mix,-4,R+4,64.1,1.3,14.3,18,0.3,2.1,44.6,52.2,88903,30.6
CA49,California,CA,49,CA-49,-1,Mike Levin,D,Yes (to Democrats),"166,453","128,577",0,56.40,43.60,50.7,43.2,Dense suburban,-1,R+1,70.3,2.8,18.1,6.3,0.3,2.2,44,52,80877,33.7
CA50,California,CA,50,CA-50,-11,Duncan Hunter,R,No,"125,448","134,362",0,48.30,51.70,39.6,54.6,Dense suburban,-11,R+11,67.3,2.9,20.8,5.7,0.8,2.5,28.2,33.5,71692,44.7
CA51,California,CA,51,CA-51,22,Juan Vargas,D,No,"109,527","44,301",0,71.20,28.80,71.8,22.8,Urban-suburban mix,22,D+22,20.7,8.5,59.3,9.4,0.5,1.5,14.1,26.6,46639,15.2
CA52,California,CA,52,CA-52,6,Scott Peters,D,No,"188,992","107,015",0,63.80,36.20,58.1,35.6,Urban-suburban mix,6,D+6,66,3.2,11.9,15.9,0.3,2.7,57.4,61.2,90854,25.5
CA53,California,CA,53,CA-53,14,Susan Davis,D,No,"185,667","83,127",0,69.10,30.90,64.5,29.6,Urban-suburban mix,14,D+14,48.9,8.3,26.6,12.9,0.3,3,37.8,48.1,69314,25.3
CO1,Colorado,CO,1,CO-1,21,Diana DeGette,D,No,"272,886","85,207","11,622",73.80,23.00,69,23.2,Urban-suburban mix,21,D+21,68.9,8.2,18,2.5,0.6,1.9,47.6,60.5,62718,27.2
CO2,Colorado,CO,2,CO-2,9,Joe Neguse,D,No,"259,608","144,901","26,256",60.30,33.60,56.2,34.9,Sparse suburban,9,D+9,88.1,0.8,7.2,2.1,0.3,1.5,54.3,56.8,75659,38
CO3,Colorado,CO,3,CO-3,-6,Scott Tipton,R,No,"146,426","173,205","16,570",43.60,51.50,40,52,Pure rural,-6,R+6,77.6,0.8,18.3,0.7,1.4,1.2,29.2,34,50817,51.2
CO4,Colorado,CO,4,CO-4,-13,Ken Buck,R,No,"145,544","224,038",39,39.40,60.60,34.3,57.4,Rural-suburban mix,-13,R+13,80.1,1.3,15.5,1.3,0.6,1.3,34.9,39.4,67878,48.5
CO5,Colorado,CO,5,CO-5,-14,Doug Lamborn,R,No,"126,848","184,002","11,866",39.30,57.00,33.2,57.2,Dense suburban,-14,R+14,77.6,5.4,11.6,2.2,0.4,2.8,37,40.9,62372,45.8
CO6,Colorado,CO,6,CO-6,2,Jason Crow,D,Yes (to Democrats),"187,639","148,685","10,498",54.10,42.90,50.2,41.3,Dense suburban,2,D+2,72.3,8.5,12.3,4.4,0.4,2.1,41.8,49.4,76451,36.5
CO7,Colorado,CO,7,CO-7,6,Ed Perlmutter,D,No,"204,260","119,734","14,073",60.40,35.40,51.4,39.4,Dense suburban,6,D+6,74.3,1.4,19.7,2.7,0.5,1.4,32.5,39.2,66063,45.1
CT1,Connecticut,CT,1,CT-1,12,John Larson,D,No,"175,087","96,024","3,029",63.90,35.00,59.4,36.3,Sparse suburban,12,D+12,69.9,12.8,13.1,2.7,0.1,1.4,36.8,42.7,70215,39.9
CT2,Connecticut,CT,2,CT-2,3,Joe Courtney,D,No,"179,731","102,483","6,900",62.20,35.40,48.7,45.8,Rural-suburban mix,3,D+3,86.4,3.5,5.9,2.2,0.2,1.8,35.1,36.3,74784,55
CT3,Connecticut,CT,3,CT-3,9,Rosa DeLauro,D,No,"174,572","95,667",0,64.60,35.40,55.9,40.4,Sparse suburban,9,D+9,73,12.3,10.5,2.7,0.2,1.3,36.2,39.9,67774,43.7
CT4,Connecticut,CT,4,CT-4,7,Jim Himes,D,No,"168,726","106,921",4,61.20,38.80,59.6,36.6,Sparse suburban,7,D+7,71.4,11.5,12.5,3.6,0.1,0.8,48.8,60.7,94862,28
CT5,Connecticut,CT,5,CT-5,2,Jahana Hayes,D,No,"151,225","119,426",13,55.90,44.10,49.9,45.8,Sparse suburban,2,D+2,78.3,5.8,12.5,2.3,0.1,1,36.3,40,68904,46.8
DEAL,Delaware,DE,AL,DE-AL,6,Lisa Blunt Rochester,D,No,"227,353","125,384",0,64.50,35.50,53.4,41.9,Sparse suburban,6,D+6,70.5,20.6,5.1,2.2,0.3,1.3,31,33.8,61757,46.6
FL1,Florida,FL,1,FL-1,-22,Matt Gaetz,R,No,"106,199","216,189",0,32.90,67.10,28.2,67.5,Rural-suburban mix,-22,R+22,77.5,12.8,4.5,2.1,0.5,2.5,27.9,30.5,53006,53.8
FL2,Florida,FL,2,FL-2,-18,Neal Dunn,R,No,"96,233","199,335",0,32.60,67.40,30.6,66.2,Rural-suburban mix,-18,R+18,79.9,12.8,4.3,1.2,0.4,1.3,23.4,24.3,46062,60.5
FL3,Florida,FL,3,FL-3,-9,Ted Yoho,R,No,"129,880","176,616",0,42.40,57.60,40.2,56.2,Pure rural,-9,R+9,73.5,15,7.2,2.5,0.3,1.5,25.9,26.5,45970,54
FL4,Florida,FL,4,FL-4,-17,John Rutherford,R,No,"123,351","248,420","9,478",32.40,65.20,34.1,62.1,Sparse suburban,-17,R+17,80.2,8.8,6,3.2,0.2,1.6,39.2,39.8,68229,48.2
FL5,Florida,FL,5,FL-5,12,Al Lawson,D,No,"180,527","89,799",0,66.80,33.20,61.3,35.9,Sparse suburban,12,D+12,45.6,45.3,5.4,1.9,0.3,1.5,21.4,25,40932,34.1
FL6,Florida,FL,6,FL-6,-7,Michael Waltz,R,No,"145,758","187,891",0,43.70,56.30,39.9,56.9,Sparse suburban,-7,R+7,79.2,9.3,9,1.3,0.3,0.9,23.9,24.9,46882,59.4
FL7,Florida,FL,7,FL-7,0,Stephanie Murphy,D,No,"183,113","134,285",0,57.70,42.30,51.4,44.1,Sparse suburban,0,EVEN,65.7,9.6,19.9,3.3,0.1,1.4,37.8,44.3,57146,36.5
FL8,Florida,FL,8,FL-8,-11,Bill Posey,R,No,"142,415","218,112",0,39.50,60.50,37.7,58.4,Sparse suburban,-11,R+11,80.9,8.5,7.4,1.5,0.2,1.4,29,30.4,50752,56.2
FL9,Florida,FL,9,FL-9,5,Darren Soto,D,No,"172,172","124,565",0,58.00,42.00,54.8,41.9,Sparse suburban,5,D+5,51.4,11.3,33.2,2.6,0.2,1.2,24.6,28.8,49899,36.4
FL10,Florida,FL,10,FL-10,11,Val Demings,D,No,0,0,0,100.00,0.00,61.8,34.9,Sparse suburban,11,D+11,46.1,25.5,21.9,4.7,0.1,1.7,30.3,38.3,50151,28.2
