District,State,Representative,Age_0_to_17_with_Pre-existing_Condition,Age_18_to_24_with_Pre-existing_Condition,Age_25_to_34_with_Pre-existing_Condition,Age_35_to_44_with_Pre-existing_Condition,Age_45_to_54_with_Pre-existing_Condition,Age_55_to_64_with_Pre-existing_Condition,Nonelderly_with_Pre-existing_Condition,Percent_of_Nonelderly_with_Pre-existing_Condition,Nonelderly_with_Pre_existing_Condition,rep_party_2012,GOP2012_percent,DEM2012_percent,GOP_margin_2012,winning_party_2012,rep_party_2014,GOP2014_percent,DEM2014_percent,GOP_margin_2014,open_seat_2014,winning_party_2014,rep_party_2016,GOP2016_percent,DEM2016_percent,GOP_margin_2016,winning_party_2016,rep_party_2018,GOP2018_percent,DEM2018_percent,GOP_margin_2018,winning_party_2018,COOK_PVI,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white,PRES_GOP_MARGIN_2016,PRES_GOP_MARGIN_2012,PRES_GOP_MARGIN_2008,CITYLAB_CDI
CA-15,California,Eric Swalwell,45300,20400,48800,69100,82000,77200,"342,800",51.0,342800,Open Post-Redistrict,0.0,100,-100,D,D,30.2,69.8,-39.6,,D,D,26.2,73.8,-47.6,D,DEM,27.5,72.5,-45.0,D,-20,43.9,7.0,17.1,28.7,0.3,3.0,45.0,47.1,106291,23.2,-45.74,-38.18,-36.9,Urban-suburban mix
CA-16,California,Jim Costa,54800,30700,50700,52500,60400,51000,"300,200",46.0,300200,D,42.6,57.4,-14.8,D,D,49.3,50.7,-1.4,,D,D,42.0,58.0,-16.0,D,DEM,45.5,54.5,-9.0,D,-9,34.6,7.6,46.1,9.3,0.6,1.8,12.2,21.3,40207,27.1,-21.59,-19.19,-17.2,Dense suburban
CA-17,California,Ro Khanna,38600,22900,60300,71800,77800,67500,"338,900",51.0,338900,D,26.5,73.5,-47,D,D,0.0,100,-100,,D,Open-Used to be Dem,0.0,100.0,-100.0,D,DEM,24.9,75.1,-50.2,D,-25,34.5,3.1,14.2,45.4,0.3,2.5,57.0,54.4,121150,15.7,-53.43,-46.39,-41.0,Pure urban
CA-18,California,Anna Eshoo,40200,20900,44200,60900,83400,75600,"325,300",52.0,325300,D,29.5,70.5,-41,D,D,32.2,67.8,-35.6,,D,D,28.9,71.1,-42.2,D,DEM,26.3,73.7,-47.4,D,-23,65.2,2.0,11.7,18.3,0.2,2.6,61.5,65.1,125790,22.7,-53.17,-39.31,-42.9,Urban-suburban mix
CA-19,California,Zoe Lofgren,42900,27500,49400,63900,81500,70900,"336,200",51.0,336200,D,26.8,73.2,-46.4,D,D,0.0,100,-100,,D,D,26.1,73.9,-47.8,D,DEM,26.6,73.4,-46.8,D,-24,34.2,3.4,30.9,28.7,0.3,2.5,35.5,48.8,93139,17.5,-51.41,-44.69,-38.7,Urban-suburban mix
CA-20,California,Jimmy Panetta,42900,33200,46800,52700,64800,67100,"307,400",49.0,307400,D,25.9,74.1,-48.2,D,D,0.0,75.2,-75.2,,D,Open-Used to be Dem,29.2,70.8,-41.6,D,DEM,20.3,79.7,-59.4,D,-23,54.5,2.6,33.8,6.0,0.3,2.7,27.9,43.5,67419,30.7,-47.13,-44.7,-45.8,Urban-suburban mix
CA-21,California,T.J. Cox,52600,29700,50000,54700,57000,47200,"291,100",46.0,291100,Open Post-Redistrict,57.8,42.2,15.6,R,R,57.8,42.2,15.6,,R,R,56.7,43.3,13.4,R,DEM,51.5,48.5,3.0,D,-5,29.1,6.3,58.7,3.8,0.7,1.5,7.9,19.5,41174,23.3,-15.58,-11.1,-5.8,Rural-suburban mix
CA-22,California,Devin Nunes,46700,29300,49300,50500,64200,58700,"298,800",48.0,298800,R,61.9,38.1,23.8,R,R,72.0,28,44,,R,R,67.6,32.4,35.2,R,GOP,55.1,44.9,10.2,R,8,51.7,3.2,35.6,7.1,0.5,1.8,24.1,31.6,56524,35.3,9.49,15.01,13.0,Dense suburban
CA-23,California,Kevin McCarthy,49500,25900,48400,53100,64400,63600,"304,900",48.0,304900,R,100.0,0,100,R,R,74.8,25.2,49.6,,R,R,69.2,30.8,38.4,R,GOP,65.1,34.9,30.2,R,14,57.1,6.6,29.1,4.4,0.7,2.1,20.8,24.6,54437,42.9,22.07,25.38,24.7,Dense suburban
CA-24,California,Salud Carbajal,36300,42600,42900,46800,63200,71500,"303,200",50.0,303200,D,44.9,55.1,-10.2,D,D,48.1,51.9,-3.8,,D,Open-Used to be Dem,46.6,53.4,-6.8,D,DEM,43.4,56.6,-13.2,D,-7,68.0,2.2,22.7,4.5,0.4,2.2,34.0,44.8,68929,37.5,-20.21,-10.97,-15.5,Sparse suburban
