District,State,Representative,Age_0_to_17_with_Pre-existing_Condition,Age_18_to_24_with_Pre-existing_Condition,Age_25_to_34_with_Pre-existing_Condition,Age_35_to_44_with_Pre-existing_Condition,Age_45_to_54_with_Pre-existing_Condition,Age_55_to_64_with_Pre-existing_Condition,Nonelderly_with_Pre-existing_Condition,Percent_of_Nonelderly_with_Pre-existing_Condition,Nonelderly_with_Pre_existing_Condition,rep_party_2012,GOP2012_percent,DEM2012_percent,GOP_margin_2012,winning_party_2012,rep_party_2014,GOP2014_percent,DEM2014_percent,GOP_margin_2014,open_seat_2014,winning_party_2014,rep_party_2016,GOP2016_percent,DEM2016_percent,GOP_margin_2016,winning_party_2016,rep_party_2018,GOP2018_percent,DEM2018_percent,GOP_margin_2018,winning_party_2018,COOK_PVI,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white,PRES_GOP_MARGIN_2016,PRES_GOP_MARGIN_2012,PRES_GOP_MARGIN_2008,CITYLAB_CDI
CA-45,California,Katie Porter,39000,29200,46100,57300,88700,78100,"338,400",52.0,338400,R,58.5,41.5,17,R,Open-Used to be GOP,65.1,34.9,30.2,,R,R,58.6,41.4,17.2,R,DEM,49.2,50.8,-1.6,D,3,60.9,1.9,14.2,20.4,0.2,2.5,56.0,56.5,97356,26.4,-5.44,11.76,4.3,Urban-suburban mix
CA-46,California,Lou Correa,46800,30600,58100,62800,69500,49500,"317,300",48.0,317300,D,36.1,63.9,-27.8,D,D,40.3,59.7,-19.4,,D,Open-Used to be Dem,0.0,100.0,-100.0,D,DEM,33.8,66.2,-32.4,D,-15,31.6,2.2,47.8,16.8,0.2,1.3,18.7,31.0,61304,21.7,-38.37,-25.23,-19.2,Pure urban
CA-47,California,Alan Lowenthal,38000,25100,50300,55400,77500,65800,"312,100",51.0,312100,Open Post-Redistrict,43.4,56.6,-13.2,D,D,44.0,56,-12,,D,D,36.3,63.7,-27.4,D,DEM,36.5,63.5,-27.0,D,-13,41.5,8.3,24.7,22.5,0.4,2.6,32.0,43.2,65450,23.5,-31.58,-22.57,-19.3,Pure urban
CA-48,California,Harley Rouda,33900,20100,45800,54500,79300,82500,"316,200",53.0,316200,R,61.0,39,22,R,R,64.1,35.9,28.2,,R,R,58.3,41.7,16.6,R,DEM,47.7,52.3,-4.6,D,4,64.1,1.3,14.3,18.0,0.3,2.1,44.6,52.2,88903,30.6,-1.71,11.68,4.9,Urban-suburban mix
CA-49,California,Mike Levin,37700,29200,44900,52400,69700,73100,"307,000",51.0,307000,R,58.2,41.8,16.4,R,R,60.2,39.8,20.4,,R,R,50.3,49.7,0.6,R,DEM,44.9,55.1,-10.2,D,1,70.3,2.8,18.1,6.3,0.3,2.2,44.0,52.0,80877,33.7,-7.49,6.59,-1.1,Dense suburban
CA-50,California,Duncan Hunter,43200,26200,47600,55300,75600,72700,"320,600",50.0,320600,R,67.7,32.3,35.4,R,R,71.2,28.8,42.4,,R,R,63.5,36.5,27.0,R,GOP,52.8,47.2,5.6,R,11,67.3,2.9,20.8,5.7,0.8,2.5,28.2,33.5,71692,44.7,15.01,22.85,18.9,Dense suburban
CA-51,California,Juan Vargas,44800,31900,49500,50200,66200,56600,"299,400",48.0,299400,Open Post-Redistrict,28.5,71.5,-43,D,D,31.2,68.8,-37.6,,D,D,27.2,72.8,-45.6,D,DEM,30.9,69.1,-38.2,D,-22,20.7,8.5,59.3,9.4,0.5,1.5,14.1,26.6,46639,15.2,-49.06,-40.5,-33.3,Urban-suburban mix
CA-52,California,Scott Peters,35300,29800,61400,60800,73400,69000,"329,600",51.0,329600,R,48.8,51.2,-2.4,D,D,48.4,51.6,-3.2,,D,D,43.5,56.5,-13.0,D,DEM,36.9,63.1,-26.2,D,-6,66.0,3.2,11.9,15.9,0.3,2.7,57.4,61.2,90854,25.5,-22.56,-6.41,-12.1,Urban-suburban mix
CA-53,California,Susan Davis,38000,30300,65900,64900,71400,66800,"337,300",50.0,337300,D,38.6,61.4,-22.8,D,D,41.2,58.8,-17.6,,D,D,33.0,67.0,-34.0,D,DEM,32.2,67.8,-35.6,D,-14,48.9,8.3,26.6,12.9,0.3,3.0,37.8,48.1,69314,25.3,-34.93,-25.01,-24.3,Urban-suburban mix
CO-1,Colorado,Diana DeGette,39100,24600,79000,72100,68300,69200,"352,300",51.0,352300,D,28.2,71.8,-43.6,D,D,29.0,65.8,-36.8,,D,D,27.7,67.9,-40.2,D,DEM,28.3,71.7,-43.4,D,-21,68.9,8.2,18.0,2.5,0.6,1.9,47.6,60.5,62718,27.2,-45.79,-40.15,-43.25,Urban-suburban mix
CO-2,Colorado,Joe Neguse,36900,38600,49900,59100,77800,83900,"346,200",52.0,346200,D,40.9,59.1,-18.2,D,D,43.3,56.7,-13.4,,D,D,37.2,56.9,-19.7,D,DEM,40.0,60.0,-20.0,D,-9,88.1,0.8,7.2,2.1,0.3,1.5,54.3,56.8,75659,38.0,-21.26,-18.41,-24.03,Sparse suburban
CO-3,Colorado,Scott Tipton,38800,24400,44100,51100,65800,80800,"305,100",51.0,305100,R,56.5,43.5,13,R,R,58.0,35.7,22.3,,R,R,54.6,40.3,14.3,R,GOP,56.6,43.4,13.2,R,6,77.6,0.8,18.3,0.7,1.4,1.2,29.2,34.0,50817,51.2,11.91,6.03,1.44,Pure rural
CO-4,Colorado,Ken Buck,48800,24300,45800,63400,78400,77900,"338,600",50.0,338600,R,61.4,38.6,22.8,R,Open-Used to be GOP,64.7,29.2,35.5,,R,R,63.5,31.7,31.8,R,GOP,60.9,39.1,21.8,R,13,80.1,1.3,15.5,1.3,0.6,1.3,34.9,39.4,67878,48.5,23.16,19.28,14.42,Rural-suburban mix
CO-5,Colorado,Doug Lamborn,43600,31200,52000,54800,72200,73500,"327,300",50.0,327300,R,100.0,0,100,R,R,59.8,40.2,19.6,,R,R,62.3,30.9,31.4,R,GOP,61.7,38.3,23.4,R,14,77.6,5.4,11.6,2.2,0.4,2.8,37.0,40.9,62372,45.8,23.94,20.81,19.07,Dense suburban
CO-6,Colorado,Jason Crow,48300,25200,50700,67100,83400,72000,"346,700",50.0,346700,R,51.1,48.9,2.2,R,R,51.9,43,8.9,,R,R,50.9,42.6,8.3,R,DEM,45.9,54.1,-8.2,D,-2,72.3,8.5,12.3,4.4,0.4,2.1,41.8,49.4,76451,36.5,-8.93,-5.06,-8.71,Dense suburban
CO-7,Colorado,Ed Perlmutter,43800,25500,55600,61600,73100,75100,"334,700",50.0,334700,D,43.3,56.7,-13.4,D,D,44.9,55.1,-10.2,,D,D,39.8,55.2,-15.4,D,DEM,39.7,60.3,-20.6,D,-6,74.3,1.4,19.7,2.7,0.5,1.4,32.5,39.2,66063,45.1,-12.01,-14.83,-16.66,Dense suburban
CT-1,Connecticut,John Larson,35200,23300,42600,50400,74900,75200,"301,800",52.0,301800,D,28.5,71.5,-43,D,D,36.1,62.3,-26.2,,D,D,33.8,64.1,-30.3,D,DEM,36.3,63.7,-27.4,D,-12,69.9,12.8,13.1,2.7,0.1,1.4,36.8,42.7,70215,39.9,-23.09,-27.71,-32.82,Sparse suburban
CT-2,Connecticut,Joe Courtney,33100,30100,38500,46700,75200,81100,"304,500",53.0,304500,D,30.1,69.9,-39.8,D,D,35.5,62.3,-26.8,,D,D,33.7,63.2,-29.5,D,DEM,37.9,62.1,-24.2,D,-3,86.4,3.5,5.9,2.2,0.2,1.8,35.1,36.3,74784,55.0,-2.88,-13.32,-18.59,Rural-suburban mix
CT-3,Connecticut,Rosa DeLauro,35200,29300,44500,48900,75800,73300,"306,900",52.0,306900,D,25.3,74.7,-49.4,D,D,32.9,67.1,-34.2,,D,D,31.0,69.0,-38.0,D,DEM,35.6,64.4,-28.8,D,-9,73.0,12.3,10.5,2.7,0.2,1.3,36.2,39.9,67774,43.7,-15.49,-26.3,-26.47,Sparse suburban
CT-4,Connecticut,Jim Himes,41900,25200,37600,54400,83900,77800,"320,800",52.0,320800,D,40.0,60,-20,D,D,46.3,53.7,-7.4,,D,D,40.1,59.9,-19.8,D,DEM,39.1,60.9,-21.8,D,-7,71.4,11.5,12.5,3.6,0.1,0.8,48.8,60.7,94862,28.0,-23.01,-11.05,-19.86,Sparse suburban
CT-5,Connecticut,Jahana Hayes,36800,21500,38200,50000,77400,83200,"307,100",53.0,307100,Open Post-Redistrict,48.7,51.3,-2.6,D,D,45.8,53.3,-7.5,,D,D,42.0,58.0,-16.0,D,DEM,44.2,55.8,-11.6,D,-2,78.3,5.8,12.5,2.3,0.1,1.0,36.3,40.0,68904,46.8,-4.1,-8.22,-13.95,Sparse suburban
DE-AL,Delaware,Lisa Blunt Rochester,48600,32500,56300,63100,93100,95500,"389,100",51.0,389100,D,34.2,65.8,-31.6,D,D,36.8,59.3,-22.5,,D,Open-Used to be Dem,41.0,55.5,-14.5,D,DEM,35.5,64.5,-29.0,D,-6,70.5,20.6,5.1,2.2,0.3,1.3,31.0,33.8,61757,46.6,-11.43,-18.63,-25.0,Sparse suburban
FL-1,Florida,Matt Gaetz,38200,27800,47400,49000,70300,65600,"298,300",50.0,298300,R,71.9,28.1,43.8,R,R,70.1,23.4,46.7,,R,Open-Used to be GOP,69.1,30.9,38.2,R,GOP,67.1,32.9,34.2,R,22,77.5,12.8,4.5,2.1,0.5,2.5,27.9,30.5,53006,53.8,39.34,38.4,34.8,Rural-suburban mix
FL-2,Florida,Neal Dunn,34400,29900,43500,48900,65700,64900,"287,400",51.0,287400,R,,,,,R,,,,,,Open-Used to be Dem,67.3,29.9,37.4,R,GOP,67.5,32.5,35.0,R,18,79.9,12.8,4.3,1.2,0.4,1.3,23.4,24.3,46062,60.5,35.6,30.6,28.2,Rural-suburban mix
FL-3,Florida,Ted Yoho,35000,31700,42300,45900,62600,62700,"280,300",50.0,280300,Open Post-Redistrict,,,,,R,,,,,,R,56.6,39.8,16.8,R,GOP,57.6,42.4,15.2,R,9,73.5,15.0,7.2,2.5,0.3,1.5,25.9,26.5,45970,54.0,15.96,14.7,10.4,Pure rural
FL-4,Florida,John Rutherford,39700,25000,47000,53500,71600,66300,"303,100",50.0,303100,R,,,,,R,,,,,,Open-Used to be GOP,70.2,27.6,42.6,R,GOP,67.7,32.3,35.4,R,17,80.2,8.8,6.0,3.2,0.2,1.6,39.2,39.8,68229,48.2,28.02,33.3,29.4,Sparse suburban
FL-5,Florida,Al Lawson,37500,35800,49100,50200,65100,60700,"298,500",49.0,298500,D,,,,,D,,,,,,Open-Used to be Dem,35.8,64.2,-28.4,D,DEM,33.2,66.8,-33.6,D,-12,45.6,45.3,5.4,1.9,0.3,1.5,21.4,25.0,40932,34.1,-25.41,-28.2,-27.3,Sparse suburban
FL-6,Florida,Michael Waltz,32100,20400,34700,44500,67800,73600,"273,000",53.0,273000,Open Post-Redistrict,,,,,R,,,,,,R,58.6,41.4,17.2,R,GOP,56.3,43.7,12.6,R,7,79.2,9.3,9.0,1.3,0.3,0.9,23.9,24.9,46882,59.4,16.98,5.6,-1.4,Sparse suburban
FL-7,Florida,Stephanie Murphy,39200,29900,50600,57100,72900,60500,"310,200",50.0,310200,R,,,,,R,,,,,,R,48.5,51.5,-3.0,D,DEM,42.3,57.7,-15.4,D,0,65.7,9.6,19.9,3.3,0.1,1.4,37.8,44.3,57146,36.5,-7.29,0.0,-3.1,Sparse suburban
FL-8,Florida,Bill Posey,32300,19100,34600,42300,71800,73500,"273,700",53.0,273700,R,,,,,R,,,,,,R,63.1,32.5,30.6,R,GOP,60.5,39.5,21.0,R,11,80.9,8.5,7.4,1.5,0.2,1.4,29.0,30.4,50752,56.2,20.71,14.5,11.1,Sparse suburban
FL-9,Florida,Darren Soto,43300,26300,48700,57200,68600,59400,"303,500",49.0,303500,Open Post-Redistrict,,,,,D,,,,,,Open-Used to be Dem,42.5,57.5,-15.0,D,DEM,42.0,58.0,-16.0,D,-5,51.4,11.3,33.2,2.6,0.2,1.2,24.6,28.8,49899,36.4,-12.91,-12.2,-10.1,Sparse suburban
FL-10,Florida,Val Demings,41200,34100,57000,60200,70500,55600,"318,600",49.0,318600,R,,,,,R,,,,,,Open-Used to be GOP,35.1,64.9,-29.8,D,DEM,0.0,100.0,-100.0,D,-11,46.1,25.5,21.9,4.7,0.1,1.7,30.3,38.3,50151,28.2,-26.89,-22.3,-22.4,Sparse suburban
FL-11,Florida,Dan Webster,29100,15400,29500,39700,59400,74100,"247,300",54.0,247300,D,,,,,D,,,,,,D,65.4,31.6,33.8,R,GOP,65.2,34.8,30.4,R,15,84.4,6.2,7.3,0.9,0.3,0.9,20.6,21.2,43610,66.4,32.31,19.4,13.5,Rural-suburban mix
FL-12,Florida,Gus Bilirakis,33800,17900,36900,49400,70200,68900,"277,000",52.0,277000,R,,,,,R,,,,,,R,68.6,31.4,37.2,R,GOP,60.3,39.7,20.6,R,8,84.0,3.9,9.0,1.9,0.3,0.9,26.9,26.7,49774,61.5,18.6,7.5,3.8,Sparse suburban
FL-13,Florida,Charlie Crist,29200,19500,37700,45700,73100,75400,"280,500",54.0,280500,R,,,,,R,,,,,,R,48.1,51.9,-3.8,D,DEM,42.4,57.6,-15.2,D,-2,78.1,11.2,6.4,2.8,0.3,1.2,27.8,28.8,48519,55.5,-3.2,-10.7,-12.5,Dense suburban
FL-14,Florida,Kathy Castor,41400,26700,51100,58200,71200,60100,"308,800",50.0,308800,D,,,,,D,,,,,,D,38.2,61.8,-23.6,D,DEM,0.0,100.0,-100.0,D,-7,55.1,17.0,22.8,3.3,0.2,1.5,35.3,46.5,51410,29.4,-18.18,-16.4,-17.2,Dense suburban
FL-15,Florida,Ross Spano,40200,24000,45600,53600,67400,61800,"292,600",50.0,292600,R,,,,,R,,,,,,R,57.5,42.5,15.0,R,GOP,53.0,47.0,6.0,R,6,67.3,13.2,15.4,2.5,0.2,1.4,25.8,27.3,53784,48.8,9.99,5.6,5.4,Sparse suburban
FL-16,Florida,Vern Buchanan,33900,19400,36900,46200,66400,71500,"274,300",52.0,274300,R,,,,,R,,,,,,R,59.8,40.2,19.6,R,GOP,54.6,45.4,9.2,R,7,80.3,7.6,9.4,1.6,0.2,0.9,30.7,33.2,55447,53.5,10.79,8.6,3.5,Sparse suburban
FL-17,Florida,Greg Steube,30500,17500,32200,40900,60400,71700,"253,100",53.0,253100,R,,,,,R,,,,,,R,61.8,34.2,27.6,R,GOP,62.3,37.7,24.6,R,13,82.4,6.8,8.8,1.1,0.2,0.8,21.3,23.2,45508,63.2,27.2,16.3,10.8,Rural-suburban mix
FL-18,Florida,Brian Mast,34500,19300,36500,46900,68100,67000,"272,400",52.0,272400,R,,,,,D,,,,,,Open-Used to be Dem,53.6,43.1,10.5,R,GOP,54.3,45.7,8.6,R,5,76.8,10.7,10.0,1.6,0.2,0.8,30.5,33.6,54913,50.9,9.21,3.7,-3.3,Sparse suburban
FL-19,Florida,Francis Rooney,33600,18500,36900,45600,64000,71600,"270,200",52.0,270200,Open Post-Redistrict,,,,,R,,,,,,Open-Used to be GOP,65.9,34.1,31.8,R,GOP,62.3,37.7,24.6,R,13,81.6,5.7,10.7,1.2,0.2,0.7,32.3,37.1,54812,51.3,22.06,21.8,14.5,Sparse suburban
FL-20,Florida,Alcee Hastings,37200,21500,43800,54600,74000,63900,"294,900",51.0,294900,D,,,,,D,,,,,,D,19.7,80.3,-60.6,D,DEM,0.0,100.0,-100.0,D,-31,25.6,51.2,19.4,2.5,0.1,1.3,19.7,27.2,43677,18.5,-62.1,-65.4,-62.3,Urban-suburban mix
FL-21,Florida,Lois Frankel,34700,19500,39400,49500,69100,63800,"276,000",52.0,276000,D,,,,,D,,,,,,D,35.1,62.7,-27.6,D,DEM,0.0,100.0,-100.0,D,-9,70.5,11.6,14.7,2.1,0.1,0.9,34.3,40.5,55864,41.8,-19.55,-21.5,-27.5,Dense suburban
FL-22,Florida,Ted Deutch,37700,22000,44800,55700,75000,63900,"299,200",51.0,299200,D,,,,,D,,,,,,D,41.1,58.9,-17.8,D,DEM,38.0,62.0,-24.0,D,-6,68.7,11.6,15.8,2.5,0.2,1.2,37.9,43.2,60159,38.9,-15.74,-13.3,-17.3,Dense suburban
FL-23,Florida,Debbie Wasserman Schultz,38300,22900,46300,57400,76200,63400,"304,400",51.0,304400,D,,,,,D,,,,,,D,40.5,56.7,-16.2,D,DEM,41.5,58.5,-17.0,D,-11,51.8,12.5,30.8,3.4,0.3,1.1,38.6,39.7,61513,31.1,-26.09,-23.4,-24.7,Urban-suburban mix
FL-24,Florida,Frederica Wilson,37200,25700,48200,60200,75600,59500,"306,400",51.0,306400,D,,,,,D,,,,,,D,0.0,100.0,-100.0,D,DEM,0.0,100.0,-100.0,D,-34,15.7,50.5,31.6,1.4,0.1,0.7,19.4,35.9,38441,9.9,-67.49,-71.8,-68.4,Urban-suburban mix
FL-25,Florida,Mario Diaz-Balart,36600,23900,45000,56000,71500,60400,"293,400",51.0,293400,R,,,,,R,,,,,,R,62.4,37.6,24.8,R,GOP,60.5,39.5,21.0,R,4,26.5,3.9,68.0,1.0,0.2,0.3,22.7,33.9,46247,17.5,1.76,9.6,18.2,Urban-suburban mix
FL-26,Florida,Debbie Mucarsel-Powell,36000,25200,47700,59800,76000,62000,"306,600",51.0,306600,R,,,,,D,,,,,,R,53.0,41.2,11.8,R,DEM,49.1,50.9,-1.8,D,-6,22.4,11.7,63.5,1.6,0.1,0.6,27.2,32.8,54453,15.0,-16.27,-11.5,-3.6,Urban-suburban mix
FL-27,Florida,Donna Shalala,37100,26100,48500,60600,75500,58900,"306,700",51.0,306700,R,,,,,R,,,,,,R,54.9,45.1,9.8,R,DEM,48.2,51.8,-3.6,D,-5,27.8,5.0,64.6,1.9,0.1,0.6,37.5,63.8,51958,9.9,-19.6,-6.7,-0.8,Urban-suburban mix
GA-1,Georgia,Buddy Carter,40900,28600,49000,51100,63400,64600,"297,600",49.0,297600,R,,,,,Open-Used to be GOP,,,,,,R,100.0,0.0,100.0,R,GOP,57.8,42.2,15.6,R,9,64.0,29.1,3.8,1.4,0.3,1.3,25.0,28.2,50931,45.9,15.51,12.88,10.56,Rural-suburban mix
GA-2,Georgia,Sanford Bishop,39300,27800,41500,47700,59500,62000,"277,800",49.0,277800,D,36.2,63.8,-27.6,D,D,,59.2,-59.2,,D,D,38.8,61.2,-22.4,D,DEM,40.4,59.6,-19.2,D,-6,44.6,50.7,2.6,0.9,0.2,1.1,17.6,22.1,35617,34.7,-11.73,-17.79,-16.28,Rural-suburban mix
GA-3,Georgia,Drew Ferguson,41200,26900,38500,56300,71000,65500,"299,400",50.0,299400,R,100.0,0,100,R,R,,0,0,,D,Open-Used to be GOP,68.3,31.7,36.6,R,GOP,65.5,34.5,31.0,R,18,70.8,23.3,3.3,1.2,0.2,1.2,26.5,28.3,56240,50.7,31.57,32.86,31.34,Rural-suburban mix
GA-4,Georgia,Hank Johnson,46100,25600,48000,59500,77300,73000,"329,400",50.0,329400,D,26.4,73.6,-47.2,D,D,,100,-100,,D,D,24.3,75.7,-51.4,D,DEM,21.2,78.8,-57.6,D,-24,30.9,60.7,3.8,3.2,0.1,1.3,29.8,38.1,51686,19.0,-53.06,-48.01,-46.92,Sparse suburban
GA-5,Georgia,John Lewis,34700,34300,66300,62900,62200,54600,"315,000",50.0,315000,D,15.6,84.4,-68.8,D,D,,100,-100,,D,D,15.6,84.4,-68.8,D,DEM,0.0,100.0,-100.0,D,-34,32.8,59.2,3.3,2.9,0.3,1.5,42.0,70.5,48269,9.7,-73.07,-67.27,-69.34,Dense suburban
GA-6,Georgia,Lucy McBath,45500,18500,44100,65500,82800,71600,"328,000",51.0,328000,R,64.5,35.5,29,R,R,,34,-34,,D,R,61.7,38.3,23.4,R,DEM,49.5,50.5,-1.0,D,8,72.4,14.3,4.9,6.8,0.3,1.4,60.6,66.7,87139,24.0,1.49,23.38,18.91,Dense suburban
GA-7,Georgia,Rob Woodall,54100,25700,47400,73100,87500,67300,"355,000",49.0,355000,R,62.2,37.8,24.4,R,R,,34.6,-34.6,,D,R,60.4,39.6,20.8,R,GOP,50.2,49.8,0.4,R,9,58.5,20.4,9.1,10.4,0.2,1.4,39.6,44.9,72481,32.1,6.38,21.91,20.96,Sparse suburban
GA-8,Georgia,Austin Scott,40600,27200,40900,51200,64100,60600,"284,600",49.0,284600,R,100.0,0,100,R,R,,0,0,,D,R,67.6,32.4,35.2,R,GOP,100.0,0.0,100.0,R,15,65.0,30.0,2.9,0.9,0.2,1.0,21.8,24.8,44360,48.7,28.94,24.15,23.76,Pure rural
GA-9,Georgia,Doug Collins,39500,23200,36700,52100,70400,70200,"292,100",51.0,292100,Open Post-Redistrict,76.2,23.8,52.4,R,R,,19.3,-19.3,,D,R,100.0,0.0,100.0,R,GOP,79.5,20.5,59.0,R,31,86.8,7.0,4.2,1.0,0.2,0.8,21.6,24.0,50154,65.9,58.45,57.66,50.41,Pure rural
GA-10,Georgia,Jody Hice,40700,34600,38900,52000,71300,65100,"302,600",50.0,302600,R,100.0,0,100,R,Open-Used to be GOP,,33.5,-33.5,,D,R,100.0,0.0,100.0,R,GOP,62.9,37.1,25.8,R,15,69.8,24.7,2.9,1.5,0.1,1.0,26.7,30.4,51532,48.5,25.5,26.16,21.62,Pure rural
GA-11,Georgia,Barry Loudermilk,42700,26700,47700,62100,79900,69100,"328,200",51.0,328200,R,68.6,31.4,37.2,R,Open-Used to be GOP,,0,0,,D,R,67.4,32.6,34.8,R,GOP,61.8,38.2,23.6,R,17,75.3,16.0,5.0,2.3,0.2,1.2,41.0,44.1,69610,42.0,24.99,35.49,29.65,Sparse suburban
GA-12,Georgia,Rick Allen,41300,30200,45700,52000,62500,61700,"293,200",49.0,293200,D,46.3,53.7,-7.4,D,D,,45.2,-45.2,,D,R,61.6,38.4,23.2,R,GOP,59.5,40.5,19.0,R,9,59.8,34.3,3.3,1.2,0.2,1.0,20.9,23.6,43933,45.7,16.16,11.78,11.69,Pure rural
GA-13,Georgia,David Scott,48500,25000,45500,62700,79800,65800,"327,400",50.0,327400,D,28.3,71.7,-43.4,D,D,,100,-100,,D,D,0.0,100.0,-100.0,D,DEM,23.8,76.2,-52.4,D,-20,33.4,58.1,4.8,2.2,0.1,1.4,29.6,26.0,57342,24.7,-44.41,-39.27,-34.81,Sparse suburban
GA-14,Georgia,Tom Graves,41600,24400,39700,52600,69700,57700,"285,700",50.0,285700,R,73.0,27,46,R,R,,0,0,,D,R,100.0,0.0,100.0,R,GOP,76.5,23.5,53.0,R,27,85.1,8.7,4.4,0.7,0.2,0.9,18.1,18.5,48691,69.3,52.89,47.9,43.19,Rural-suburban mix
HI-1,Hawaii,Ed Case,33500,24100,51200,53000,66600,66700,"295,200",51.0,295200,D,45.4,54.6,-9.2,D,Open-Used to be Dem,,51.9,-51.9,,D,Open-Used to be Dem,22.7,71.9,-49.2,D,DEM,26.9,73.1,-46.2,D,-17,19.1,2.2,7.2,56.2,0.1,15.1,36.0,48.9,78180,9.8,-32.53,-40.68,-41.96,Urban-suburban mix
HI-2,Hawaii,Tulsi Gabbard,41100,25400,47100,50200,60000,74300,"298,100",50.0,298100,Open Post-Redistrict,19.5,80.5,-61,D,D,,78.7,-78.7,,D,D,18.8,81.2,-62.4,D,DEM,22.6,77.4,-54.8,D,-19,33.7,1.6,9.2,35.9,0.2,19.5,27.8,42.6,70867,19.3,-31.85,-44.72,-48.45,Rural-suburban mix
ID-1,Idaho,Russ Fulcher,51000,27500,46400,60300,76000,83200,"344,400",50.0,344400,R,67.2,32.8,34.4,R,R,,35,-35,,D,R,68.2,31.8,36.4,R,GOP,69.7,30.3,39.4,R,21,89.6,0.3,6.5,0.9,1.2,1.5,25.4,26.8,52199,65.5,38.3,32.73,27.39,Rural-suburban mix
ID-2,Idaho,Mike Simpson,52300,30200,52400,56900,65600,71400,"328,800",48.0,328800,R,65.2,34.8,30.4,R,R,,38.6,-38.6,,D,R,62.9,29.4,33.5,R,GOP,60.7,39.3,21.4,R,17,88.1,0.6,7.6,1.1,1.1,1.4,30.1,32.5,51294,59.4,24.66,31.08,23.44,Rural-suburban mix
IL-1,Illinois,Bobby Rush,40300,27100,40600,48700,67600,76400,"300,700",51.0,300700,D,26.2,73.8,-47.6,D,D,,73.1,-73.1,,D,D,25.9,74.1,-48.2,D,DEM,27.0,73.0,-46.0,D,-27,38.0,53.0,6.4,1.3,0.2,1.1,28.9,35.9,50523,24.3,-53.94,-58.7,-62.3,Urban-suburban mix
IL-2,Illinois,Robin Kelly,40000,25100,39600,49300,70400,69600,"294,100",51.0,294100,D,26.8,73.2,-46.4,D,D,,78.5,-78.5,,D,D,20.2,79.8,-59.6,D,DEM,19.2,80.8,-61.6,D,-29,33.0,56.6,8.8,0.6,0.1,1.0,23.3,25.0,48417,24.7,-58.86,-62.18,-62.89,Dense suburban
IL-3,Illinois,Dan Lipinski,43500,24700,42600,55500,73200,72200,"311,600",50.0,311600,D,31.5,68.5,-37,D,D,,64.6,-64.6,,D,D,0.0,100.0,-100.0,D,DEM,26.5,73.5,-47.0,D,-6,68.2,5.4,22.3,3.3,0.0,0.7,26.9,32.1,66270,46.3,-15.3,-13.34,-17.85,Urban-suburban mix
IL-4,Illinois,Chuy Garcia,43900,27100,58900,61900,62600,50500,"304,900",48.0,304900,D,17.0,83,-66,D,D,,78.1,-78.1,,D,D,0.0,100.0,-100.0,D,DEM,9.7,90.3,-80.6,D,-33,33.2,5.4,56.2,3.9,0.2,1.1,24.5,52.8,51383,15.6,-68.86,-63.84,-62.31,Pure urban
IL-5,Illinois,Mike Quigley,34000,22000,74700,65300,65200,60200,"321,400",51.0,321400,D,30.3,69.7,-39.4,D,D,,63.2,-63.2,,D,D,27.5,67.8,-40.3,D,DEM,22.1,77.9,-55.8,D,-20,74.5,2.9,15.0,6.0,0.1,1.5,54.7,60.2,80269,29.6,-46.58,-34.21,-41.09,Pure urban
IL-6,Illinois,Sean Casten,41100,22400,36900,52600,81900,87400,"322,200",52.0,322200,R,59.2,40.8,18.4,R,R,,32.9,-32.9,,D,R,59.2,40.8,18.4,R,DEM,47.2,52.8,-5.6,D,2,84.1,2.4,6.0,6.7,0.0,0.8,52.2,53.4,97387,39.2,-6.97,8.21,-3.99,Sparse suburban
IL-7,Illinois,Danny Davis,34400,30200,64400,56500,61900,60500,"307,900",50.0,307900,D,11.5,88.5,-77,D,D,,85.1,-85.1,,D,D,15.8,84.2,-68.4,D,DEM,11.9,88.1,-76.2,D,-38,32.5,51.5,9.5,5.2,0.1,1.2,40.7,73.7,54147,8.5,-78.19,-75.43,-79.52,Pure urban
IL-8,Illinois,Raja Krishnamoorthi,39600,22400,47100,58300,75400,69900,"312,800",51.0,312800,R,45.3,54.7,-9.4,D,D,,55.7,-55.7,,D,Open-Used to be Dem,41.7,58.3,-16.6,D,DEM,34.3,65.7,-31.4,D,-8,67.6,4.9,15.6,10.9,0.1,1.0,32.6,34.8,67745,43.9,-21.68,-16.45,-24.38,Dense suburban
IL-9,Illinois,Jan Schakowsky,34800,21000,49400,55000,73000,80700,"313,800",53.0,313800,D,33.7,66.3,-32.6,D,D,,66.1,-66.1,,D,D,33.5,66.5,-33.0,D,DEM,15.5,84.5,-69.0,D,-18,72.1,8.6,7.4,10.3,0.1,1.5,53.2,58.2,67084,30.1,-45.24,-31.76,-38.3,Urban-suburban mix
IL-10,Illinois,Brad Schneider,42900,25000,38900,53900,74900,72400,"308,200",51.0,308200,R,49.4,50.6,-1.2,D,D,,48.7,-48.7,,D,R,47.4,52.6,-5.2,D,DEM,34.6,65.4,-30.8,D,-10,71.2,7.2,12.2,7.8,0.2,1.4,44.1,51.2,74971,34.7,-29.4,-16.39,-27.04,Sparse suburban
