District,State_x,Representative,Age_0_to_17_with_Pre-existing_Condition,Age_18_to_24_with_Pre-existing_Condition,Age_25_to_34_with_Pre-existing_Condition,Age_35_to_44_with_Pre-existing_Condition,Age_45_to_54_with_Pre-existing_Condition,Age_55_to_64_with_Pre-existing_Condition,Nonelderly_with_Pre-existing_Condition,Percent_of_Nonelderly_with_Pre-existing_Condition,Nonelderly_with_Pre_existing_Condition,State_Abbreviation,CD#,2018_Cook_PVI_Score,Party,flipped_seat,Dem_Votes_2018,GOP_Votes_2018,Other_Votes_2018,Dem_2018_Vote_Share,GOP_2018_Vote_Share,Clinton_Vote_Share,Trump_Vote_Share,City_Lab_Congressional_Index,2018_Cook_PVI_Index,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white
CA-39,California,Gil Cisneros,38400,26100,44700,54000,79200,78300,"320,700",52.0,320700,CA,39,0,D,Yes (to Democrats),"126,002","118,391",0,51.6,48.4,51.5,42.9,Dense suburban,EVEN,39.6,2.5,27.2,28.5,0.2,2.0,41.6,43.7,85188,22.2
CA-40,California,Lucille Roybal-Allard,49100,31600,49600,61100,65100,54500,"311,000",48.0,311000,CA,40,33,D,No,"93,938",0,"27,511",77.3,0.0,82.2,12.8,Pure urban,D+33,8.7,7.9,79.0,3.7,0.2,0.5,9.8,24.6,42902,6.5
CA-41,California,Mark Takano,47400,37600,53000,54200,67900,56600,"316,700",48.0,316700,CA,41,12,D,No,"108,227","58,021",0,65.1,34.9,61.0,33.1,Dense suburban,D+12,33.6,11.2,46.6,6.1,0.4,2.0,18.3,28.2,62069,24.0
CA-42,California,Ken Calvert,50000,25100,46200,61200,80900,70100,"333,500",50.0,333500,CA,42,-9,R,No,"100,892","131,040",0,43.5,56.5,41.4,53.4,Sparse suburban,R+9,52.2,5.9,30.0,9.0,0.4,2.5,25.0,27.4,76504,37.8
CA-43,California,Maxine Waters,43500,28600,51700,60600,71600,61800,"317,800",49.0,317800,CA,43,29,D,No,"152,272","43,780",0,77.7,22.3,78.4,16.7,Pure urban,D+29,20.6,28.7,33.9,13.8,0.2,2.8,26.5,46.2,54614,11.0
CA-44,California,Nanette Barragan,45900,31000,47900,52500,69700,54500,"301,500",48.0,301500,CA,44,35,D,No,"143,322",0,0,100.0,0.0,83.0,12.3,Pure urban,D+35,10.9,22.5,56.8,7.8,0.3,1.7,12.3,26.5,50890,8.0
CA-45,California,Katie Porter,39000,29200,46100,57300,88700,78100,"338,400",52.0,338400,CA,45,-3,D,Yes (to Democrats),"158,906","146,383",0,52.1,47.9,49.8,44.4,Urban-suburban mix,R+3,60.9,1.9,14.2,20.4,0.2,2.5,56.0,56.5,97356,26.4
CA-46,California,Lou Correa,46800,30600,58100,62800,69500,49500,"317,300",48.0,317300,CA,46,15,D,No,"102,278","45,638",0,69.1,30.9,66.3,27.9,Pure urban,D+15,31.6,2.2,47.8,16.8,0.2,1.3,18.7,31.0,61304,21.7
CA-47,California,Alan Lowenthal,38000,25100,50300,55400,77500,65800,"312,100",51.0,312100,CA,47,13,D,No,"143,354","77,682",0,64.9,35.1,62.6,31.0,Pure urban,D+13,41.5,8.3,24.7,22.5,0.4,2.6,32.0,43.2,65450,23.5
CA-48,California,Harley Rouda,33900,20100,45800,54500,79300,82500,"316,200",53.0,316200,CA,48,-4,D,Yes (to Democrats),"157,837","136,899",0,53.6,46.4,47.9,46.2,Urban-suburban mix,R+4,64.1,1.3,14.3,18.0,0.3,2.1,44.6,52.2,88903,30.6
